label,shape,transport,files,bytes,file_concurrency,segment_concurrency,segment_size,batch_size,keepalive,http2,proto,wall_ms,files_per_sec,mib_per_sec,errors,p50_ms,p95_ms,p99_ms,gen_ms,hash_ms,create_ms,put_ms,commit_ms,http_requests,first_error
edge-h2-put-c32,logs,put,5000,84809410,32,8,8388608,32,true,true,HTTP/2.0,7174,696.8651,11.2726,0,38.1180,101.9460,164.0900,36.6,0.0,0.0,228897.1,0.0,5000,
edge-h2-put-c32,logs,put,5000,84809410,32,8,8388608,32,true,true,HTTP/2.0,10610,471.2243,7.6226,8,48.8200,169.2180,313.3670,36.8,0.0,0.0,336627.7,0.0,5000,"PUT /v1/paths/data/bench/logs-1785087463669561546/2026-07-02/host-01/app-000001.log: status 404: {""error"":""not found""}"
edge-h1-session-c32,logs,session,5000,84809410,32,32,8388608,100,true,false,HTTP/1.1,20402,245.0689,3.9643,0,4868.6610,7812.1020,8293.4580,57.5,61.9,40549.6,153193.8,479225.4,10050,
edge-h1-session-c32,logs,session,5000,84809410,32,32,8388608,100,true,false,HTTP/1.1,21465,232.9311,3.7679,0,6363.7150,7885.2710,8245.5010,81.1,60.8,39419.3,155094.5,519167.0,10050,
edge-h2-session-c32,logs,session,5000,84809410,32,32,8388608,100,true,true,HTTP/2.0,21579,231.7031,3.7481,0,4624.5300,9214.8860,10593.1020,49.0,57.4,40957.8,161010.1,507387.5,10050,
edge-h2-session-c32,logs,session,5000,84809410,32,32,8388608,100,true,true,HTTP/2.0,22655,220.7005,3.5701,0,6150.2780,8527.5950,9076.2790,34.7,65.1,42738.1,170152.8,540425.4,10050,
nm-put-c32,node-modules,put,5000,46366840,32,8,8388608,32,true,false,HTTP/1.1,23817,209.9304,1.8566,0,128.3620,326.6790,529.4030,25.0,0.0,0.0,761089.2,0.0,5000,
nm-put-c32,node-modules,put,5000,46366840,32,8,8388608,32,true,false,HTTP/1.1,28244,177.0272,1.5656,0,154.3360,389.6390,604.7590,39.0,0.0,0.0,903064.9,0.0,5000,
nm-session-c32-batch100,node-modules,session,5000,46366840,32,32,8388608,100,true,false,HTTP/1.1,43950,113.7645,1.0061,0,12556.5900,16718.8360,17796.9500,32.5,30.2,27444.3,111605.0,1281415.0,10050,
nm-session-c32-batch100,node-modules,session,5000,46366840,32,32,8388608,100,true,false,HTTP/1.1,41261,121.1769,1.0717,0,11480.8810,16139.6520,16900.3610,17.6,29.1,31353.1,111590.2,1200712.6,10050,
photos-put-c8,photos,put,150,2298797105,8,8,8388608,32,true,false,HTTP/1.1,7598,19.7399,288.5061,0,210.8340,955.4020,1099.4450,1627.8,0.0,0.0,59008.0,0.0,150,
photos-put-c8,photos,put,150,2298797105,8,8,8388608,32,true,false,HTTP/1.1,5945,25.2272,368.7047,0,170.6380,840.4830,1222.6670,880.3,0.0,0.0,47174.0,0.0,150,
photos-session-c8-seg8,photos,session,150,2298797105,8,8,8388608,32,true,false,HTTP/1.1,10585,14.1705,207.1070,0,4034.2560,9371.7270,9621.6510,1042.9,2289.3,1652.3,23538.8,57323.3,494,
photos-session-c8-seg8,photos,session,150,2298797105,8,8,8388608,32,true,false,HTTP/1.1,10896,13.7661,201.1961,0,5150.8840,9799.4740,10322.3560,615.7,1625.7,1287.6,22782.3,61152.1,492,
photos-session-c8-seg32,photos,session,150,2298797105,8,16,33554432,32,true,false,HTTP/1.1,10313,14.5446,212.5752,0,3681.6070,9114.4060,9398.6320,865.0,1935.4,1120.9,25401.6,52939.5,348,
photos-session-c8-seg32,photos,session,150,2298797105,8,16,33554432,32,true,false,HTTP/1.1,10236,14.6536,214.1674,0,4117.1030,8742.4410,9437.7400,706.1,1875.6,1661.2,26638.2,51381.0,349,
photos-full-put-c8,photos,put,600,9113293862,8,8,8388608,32,true,false,HTTP/1.1,24212,24.7810,358.9578,0,202.7060,908.8380,1270.2120,2781.0,0.0,0.0,192612.0,0.0,600,
photos-full-session-c8-seg32,photos,session,600,9113293862,8,16,33554432,32,true,false,HTTP/1.1,38547,15.5653,225.4667,0,15725.7490,30388.9200,32497.3380,3364.3,7356.3,5908.5,98596.5,203889.8,1345,
session-batch1-rep,logs,session,5000,84809410,32,32,8388608,1,true,false,HTTP/1.1,14952,334.3838,5.4090,0,318.3530,557.1620,631.3550,37.0,51.8,42839.7,114185.4,360548.9,15000,
session-batch100-rep,logs,session,5000,84809410,32,32,8388608,100,true,false,HTTP/1.1,16529,302.4922,4.8931,0,4180.8050,6316.5880,6659.7290,38.9,66.8,26851.7,106606.6,407086.3,10050,
session-batch1-rep,logs,session,5000,84809410,32,32,8388608,1,true,false,HTTP/1.1,19303,259.0264,4.1900,0,444.0940,693.5760,1258.6600,34.6,52.5,54405.3,130533.8,479074.4,15000,
session-batch100-rep,logs,session,5000,84809410,32,32,8388608,100,true,false,HTTP/1.1,17528,285.2445,4.6141,0,4325.4740,7049.7210,7444.4310,42.6,49.3,29118.4,113547.4,435359.9,10050,
session-batch1-rep,logs,session,5000,84809410,32,32,8388608,1,true,false,HTTP/1.1,35106,142.4250,2.3039,0,668.2210,1739.3850,2028.7190,58.8,67.2,120666.8,302518.1,811509.8,15000,
session-batch100-rep,logs,session,5000,84809410,32,32,8388608,100,true,false,HTTP/1.1,35259,141.8050,2.2939,0,8961.0320,13092.4050,13784.5430,105.9,84.2,62550.2,270155.0,798087.8,10050,
